"kind"	"id"	"levelreq"	"name"
"prefix"	"0"	"0"	""
"prefix"	"1"	"3"	"Sturdy"
"prefix"	"2"	"6"	"Strong"
"prefix"	"3"	"14"	"Glorious"
"prefix"	"4"	"18"	"Blessed"
"prefix"	"5"	"23"	"Saintly"
"prefix"	"6"	"27"	"Holy"
"prefix"	"7"	"5"	"Devious"
"prefix"	"8"	"10"	"Fortified"
"prefix"	"9"	"0"	""
"prefix"	"10"	"0"	""
"prefix"	"11"	"0"	""
"prefix"	"12"	"1"	"Jagged"
"prefix"	"13"	"3"	"Deadly"
"prefix"	"14"	"6"	"Vicious"
"prefix"	"15"	"10"	"Brutal"
"prefix"	"16"	"15"	"Massive"
"prefix"	"17"	"19"	"Savage"
"prefix"	"18"	"24"	"Merciless"
"prefix"	"19"	"6"	"Vulpine"
"prefix"	"20"	"0"	""
"prefix"	"21"	"0"	""
"prefix"	"22"	"0"	""
"prefix"	"23"	"0"	""
"prefix"	"24"	"10"	"Tireless"
"prefix"	"25"	"10"	"Rugged"
"prefix"	"26"	"1"	"Bronze"
"prefix"	"27"	"3"	"Iron"
"prefix"	"28"	"6"	"Steel"
"prefix"	"29"	"9"	"Silver"
"prefix"	"30"	"0"	""
"prefix"	"31"	"12"	"Gold"
"prefix"	"32"	"16"	"Platinum"
"prefix"	"33"	"20"	"Meteoric"
"prefix"	"34"	"3"	"Sharp"
"prefix"	"35"	"6"	"Fine"
"prefix"	"36"	"11"	"Warrior's"
"prefix"	"37"	"15"	"Soldier's"
"prefix"	"38"	"18"	"Knight's"
"prefix"	"39"	"22"	"Lord's"
"prefix"	"40"	"26"	"King's"
"prefix"	"41"	"12"	"Howling"
"prefix"	"42"	"3"	"Fortuitous"
"prefix"	"43"	"0"	""
"prefix"	"44"	"0"	""
"prefix"	"45"	"0"	""
"prefix"	"46"	"0"	""
"prefix"	"47"	"0"	""
"prefix"	"48"	"1"	"Glimmering"
"prefix"	"49"	"4"	"Glowing"
"prefix"	"50"	"0"	""
"prefix"	"51"	"0"	""
"prefix"	"52"	"2"	"Lizard's"
"prefix"	"53"	"0"	""
"prefix"	"54"	"4"	"Snake's"
"prefix"	"55"	"10"	"Serpent's"
"prefix"	"56"	"27"	"Serpent's"
"prefix"	"57"	"15"	"Drake's"
"prefix"	"58"	"18"	"Dragon's"
"prefix"	"59"	"39"	"Dragon's"
"prefix"	"60"	"22"	"Wyrm's"
"prefix"	"61"	"0"	""
"prefix"	"62"	"0"	""
"prefix"	"63"	"20"	"Prismatic"
"prefix"	"64"	"46"	"Prismatic"
"prefix"	"65"	"3"	"Azure"
"prefix"	"66"	"9"	"Lapis"
"prefix"	"67"	"26"	"Lapis"
"prefix"	"68"	"13"	"Cobalt"
"prefix"	"69"	"41"	"Cobalt"
"prefix"	"70"	"0"	""
"prefix"	"71"	"18"	"Sapphire"
"prefix"	"72"	"0"	""
"prefix"	"73"	"0"	""
"prefix"	"74"	"3"	"Crimson"
"prefix"	"75"	"9"	"Burgundy"
"prefix"	"76"	"26"	"Burgundy"
"prefix"	"77"	"13"	"Garnet"
"prefix"	"78"	"41"	"Garnet"
"prefix"	"79"	"0"	""
"prefix"	"80"	"18"	"Ruby"
"prefix"	"81"	"0"	""
"prefix"	"82"	"0"	""
"prefix"	"83"	"3"	"Ocher"
"prefix"	"84"	"9"	"Tangerine"
"prefix"	"85"	"26"	"Tangerine"
"prefix"	"86"	"13"	"Coral"
"prefix"	"87"	"41"	"Coral"
"prefix"	"88"	"0"	""
